,ARS_ID,정류소명_x,X좌표,Y좌표,행정구명,정류소명_y
5986,15230,계남초등학교,126.8584302,37.50975303,양천구,계남초등학교
5987,15231,목동아파트11단지(1117동),126.859907,37.50730617,양천구,목동아파트11단지(1117동)
5988,15232,신정1동주민센터.신오새마을금고,126.8543711,37.51720336,양천구,신정1동주민센터
5989,15233,양명초교.신서중,126.8557025,37.51430526,양천구,양명초교.신서중
5990,15234,신트리공원.목동아파트11단지,126.8571829,37.51392049,양천구,신트리공원.목동아파트11단지
5991,15235,목동10단지상가,126.8596768,37.51596919,양천구,목동10단지상가
5992,15236,양천문화회관.양천일자리센터,126.862381,37.51693324,양천구,양천문화회관.양천일자리센터
5993,15237,목동10단지농협,126.8563817,37.51780102,양천구,목동10단지농협
5994,15238,목동13단지,126.8692997,37.51451385,양천구,목동13단지
5995,15239,목동13단지,126.8680275,37.5135267,양천구,목동13단지
5996,15241,신서초등학교,126.8618413,37.52064102,양천구,신서초등학교
5997,15242,신정1동우체국,126.861673,37.521953,양천구,신정1동우체국
5998,15247,우리은행신정동지점,126.859385,37.521705,양천구,우리은행신정동지점
5999,15248,목동프라자,126.8602781,37.51987595,양천구,목동프라자
6000,15249,목동10단지,126.8566525,37.51908697,양천구,목동10단지
6001,15250,신정네거리역,126.8534032,37.52103872,양천구,신정네거리역
6002,15251,신정네거리역,126.8533978,37.51946421,양천구,신정네거리역
6003,15252,길훈로즈빌아파트,126.871157,37.52243302,양천구,길훈로즈빌아파트
6004,15253,하이스트학원.종로학원,126.8694005,37.52481016,양천구,하이스트학원.종로학원
6005,15254,목동역,126.8654053,37.52579678,양천구,목동역
6006,15255,목동8단지지하도,126.8669117,37.52004784,양천구,목동8단지지하도
6007,15256,양천구청.양천보건소,126.8661629,37.51816257,양천구,양천구청.양천보건소
6008,15257,목동8단지.한전,126.8683292,37.52018346,양천구,목동8단지
6009,15258,진명여고,126.8651038,37.52394011,양천구,진명여고
