ARS_ID,행정구명,정류소명,X좌표,Y좌표
17236,구로구,개봉1동사거리,126.8469151,37.50046951
17237,구로구,구로1동우체국,126.8745026,37.49156829
17238,구로구,구일우성아파트,126.8762607,37.48871476
17239,구로구,디지털단지입구,126.8764578,37.48642369
17240,구로구,구로보건소,126.8891718,37.50023072
17241,구로구,궁동삼거리,126.8284512,37.50640132
17242,구로구,구일우성아파트,126.8758257,37.48974303
17243,구로구,개봉역,126.8570002,37.49344724
17244,구로구,웰크론,126.8938547,37.4829061
17245,구로구,남구로역,126.8873712,37.48493217
17246,구로구,개봉고가,126.855585,37.49365601
17247,구로구,구로남초등학교,126.8910105,37.48398953
17248,구로구,연세중앙교회,126.8359814,37.49330279
17249,구로구,가리봉파출소,126.891741,37.47924639
17251,구로구,동양빌라,126.8315971,37.49518984
17252,구로구,남구로역6번출구,126.8885674,37.4877325
17253,구로구,궁동입구,126.83408,37.4934389
17254,구로구,현대아파트,126.886618,37.504635
17255,구로구,롯데아파트,126.8847255,37.50282309
17256,구로구,구로역·NC신구로점,126.882557,37.501827
17257,구로구,롯데아파트,126.8847504,37.50272117
17258,구로구,제중병원,126.8866148,37.50361498
17259,구로구,구로역,126.882775,37.50207124
17260,구로구,구로중앙하이츠아파트.화원복지관,126.8798196,37.49828666
17261,구로구,신동아미래지움아파트,126.8803765,37.50012077
17262,구로구,초롱타운아파트,126.8800117,37.49582924
17267,구로구,한양수자인아파트앞,126.8246295,37.47810715
17289,구로구,온수동종점,126.821273,37.491642
17290,구로구,온수동종점,126.8212178,37.49196839
17291,구로구,신도림생활체육관.우성3차아파트,126.8832045,37.51318585
17292,구로구,우성3차아파트,126.8854913,37.51285028
17293,구로구,구로구청,126.8884812,37.49592855
17296,구로구,대림역,126.8943735,37.49350098
17297,구로구,구로중학교,126.8908083,37.49309315
17298,구로구,우신고등학교후문,126.824903,37.49604407
17299,구로구,동양빌라,126.8313007,37.49531709
17300,구로구,궁동입구,126.8342168,37.49345532
17304,구로구,동부골든아파트,126.8401619,37.49873071
17305,구로구,거성푸르뫼아파트,126.8433198,37.50032244
17306,구로구,거성푸르뫼아파트,126.8435534,37.5006161
17307,구로구,오류동삼거리,126.8408784,37.49537031
17308,구로구,오류동삼거리,126.8403656,37.49578512
17309,구로구,동부골든.한신플러스타운,126.8403826,37.4986319
17310,구로구,구로역.나인스애비뉴,126.8834798,37.49982279
17311,구로구,개봉1동사거리,126.8453709,37.50121091
17312,구로구,개봉1동사거리,126.8455329,37.50106785
17314,구로구,동부골든아파트후문,126.842311,37.50008
17315,구로구,동부골든아파트후문,126.8419151,37.49956847
17359,구로구,항동하버라인3단지,126.8229434,37.47874661
17360,구로구,항동하버라인3단지,126.8230451,37.47916111
17361,구로구,푸른수목원,126.8244378,37.48149466
17362,구로구,항동복합행정센터,126.8220934,37.47963057
17363,구로구,푸른수목원,126.8245518,37.48119036
17364,구로구,항동복합행정센터,126.8222802,37.47952048
17365,구로구,푸른수목원후문.저수지앞,126.8224245,37.48428958
17366,구로구,매화빌라,126.8231547,37.47665433
17367,구로구,그린빌라정문,126.8234322,37.48604325
17368,구로구,매화빌라,126.8233185,37.47671239
17369,구로구,푸른수목원후문.저수지앞,126.8222927,37.48378226
17370,구로구,항동중흥S클래스,126.8216009,37.48108359
17371,구로구,항동하버라인2단지,126.821657,37.4812765
17389,구로구,디지털단지오거리,126.8887535,37.48011533
17397,구로구,연지타운2단지,126.8408329,37.48373069
17399,구로구,연지타운2단지,126.8412298,37.48380003
17400,구로구,원각사입구,126.8295257,37.50055659
17401,구로구,삼각공원,126.8925198,37.50185337
17404,구로구,고척고교.한일유앤아이.삼익아파트,126.852461,37.50823595
17405,구로구,삼덕마을입구,126.8500804,37.50747963
17406,구로구,삼덕마을입구,126.8501021,37.50734089
17407,구로구,그랜드아파트.홍진연립,126.8479514,37.50808327
17408,구로구,그랜드아파트.홍진연립,126.8479005,37.50790667
17409,구로구,오류중학교,126.8469113,37.50797495
17410,구로구,연지마을,126.8422699,37.48276303
17412,구로구,신도림역,126.8900418,37.51045343
17456,구로구,경남아너스빌아파트,126.8394522,37.49084575
17457,구로구,서울남부교정시설,126.8397338,37.47688081
17458,구로구,오류남초등학교후문,126.8371912,37.48931564
17459,구로구,서울남부교정시설입구,126.8416444,37.47679544
17460,구로구,천왕이펜하우스6단지후문,126.841954,37.4772613
17461,구로구,미래여성병원,126.8402025,37.49128524
17462,구로구,동부그린아파트,126.8322991,37.49004763
17463,구로구,오류동푸르지오아파트.송기산내과의원,126.8415591,37.49129846
17464,구로구,1호선구일역,126.8722336,37.49547596
17465,구로구,SK허브수.한신아파트,126.8733862,37.49548273
17468,구로구,그린빌라정문,126.8234379,37.4858461
17469,구로구,경서농협앞,126.8639481,37.50267444
17470,구로구,고척고교.한일유앤아이.삼익아파트,126.8526426,37.5080363
17471,구로구,구388버스정류장,126.8468826,37.50031178
17472,구로구,구로디지털단지역,126.9014954,37.48448438
17473,구로구,천왕역3번출구,126.8386191,37.48719299
17474,구로구,대림역4번출구,126.8941899,37.49440806
17475,구로구,동아1차APT105동,126.8820034,37.51008302
17476,구로구,오류동역.시장입구,126.8438114,37.49346696
17477,구로구,개봉한진아파트.기점,126.8520773,37.48604673
17478,구로구,개봉역,126.8586856,37.4951118
17479,구로구,개봉역,126.8581281,37.49503364
17481,구로구,구.사조참치,126.9000464,37.48317476
17483,구로구,신도림중학교,126.8844436,37.51069733
17484,구로구,개봉사거리,126.8559171,37.49744142
17485,구로구,우리은행앞,126.84346,37.49226585
17486,구로구,123전자타운.2001아울렛,126.8623394,37.49709674
17488,구로구,개봉3동주민센터,126.8540164,37.48616087
17489,구로구,국민은행.구로구민회관.구로아트밸리,126.8896836,37.49582064
17490,구로구,1호선구일역,126.8722281,37.49530538
17491,구로구,용두연립,126.8520611,37.49879912
17492,구로구,남부종합상가,126.8424809,37.49166543
17493,구로구,고척공구상가,126.8606651,37.49850584
17494,구로구,개봉전화국,126.8560066,37.48635774
17497,구로구,세븐일레븐편의점,126.8557099,37.49165158
17499,구로구,대림6차태영프라자,126.883187,37.50625186
17501,구로구,고척초등학교,126.8580365,37.49964103
17502,구로구,개봉1동주민센터,126.8510152,37.50038644
17503,구로구,보람아파트,126.8968737,37.48628535
17504,구로구,개봉역.림괄아파트,126.858684,37.49388204
17505,구로구,덕의초등학교.고척동성당,126.8576518,37.5056425
17506,구로구,이마트,126.8540092,37.49157109
17507,구로구,구로고대병원정문,126.8834654,37.49235083
17508,구로구,대림5차아파트.신도림주민센터,126.8813606,37.50744851
17509,구로구,세곡초등학교,126.8493638,37.5027164
17511,구로구,새마을금고사거리,126.859043,37.50169929
17512,구로구,삼환로노즈빌아파트,126.8567826,37.49888493
17513,구로구,낙원할인마트,126.8495366,37.49997839
17514,구로구,오류고등학교.수궁동복지회관,126.8286519,37.49876118
17515,구로구,경북슈퍼마켓,126.8568382,37.48817832
17516,구로구,오류동삼거리,126.8404273,37.49567606
17517,구로구,대림5차아파트702동,126.8796862,37.50765857
17520,구로구,서울가든아파트,126.8603584,37.50107368
17521,구로구,성화단지앞,126.8557461,37.5004599
17524,구로구,현대별장맨션타운4차.덕성교회,126.8265496,37.49815347
17526,구로구,구로2동지하차도입구,126.8811731,37.49016427
17527,구로구,대림3차아파트,126.8784998,37.50688061
17529,구로구,고척1동주민센터.한효아파트,126.8620827,37.50077474
17530,구로구,대우아파트,126.856127,37.50235628
17532,구로구,개봉1치안센터,126.8469793,37.50337745
17533,구로구,우신중.고후문,126.8255107,37.49600732
17534,구로구,항동중학교,126.8220255,37.48323675
17535,구로구,항동중학교,126.8215348,37.48275848
17536,구로구,한일유엔아이APT.현대로얄APT,126.8765438,37.48599013
17537,구로구,신도림미성아파트,126.8764811,37.50600355
17539,구로구,금강수목원아파트정문.동도아트빌,126.8325389,37.48922497
17540,구로구,청구아파트후문,126.8635071,37.50114585
17541,구로구,경남아파트앞,126.8564113,37.50391553
17543,구로구,삼원목욕탕,126.8462945,37.50472371
17544,구로구,온수초교후문,126.8247852,37.49434461
17547,구로구,월드아파트,126.8768479,37.50538803
17549,구로구,서해그랑블아파트.금강수목원아파트후문,126.8309461,37.48832027
17550,구로구,고척시장,126.862377,37.50310353
17551,구로구,양우아파트,126.8559186,37.5048737
17552,구로구,경북슈퍼마켓,126.8569163,37.48810905
17554,구로구,오류중학교,126.8454007,37.50649681
17555,구로구,온수역,126.8250915,37.49295466
17558,구로구,센추리아파트,126.8612662,37.50496571
17559,구로구,고척2동주민센터.고척지구대,126.8585086,37.5066045
17560,구로구,철산교앞,126.859418,37.48809308
17563,구로구,우신중.고후문,126.8255144,37.49587216
17566,구로구,오류동교회,126.8396348,37.49673019
17568,구로구,리가아파트,126.8608037,37.50605948
17569,구로구,덕의공원,126.855762,37.50687898
17570,구로구,현대IPARK후문,126.8600859,37.48891659
17572,구로구,건강약국,126.844646,37.5027959
17573,구로구,현대별장맨션타운4차.덕성교회,126.8266538,37.49810496
17575,구로구,항아리,126.8864312,37.49867586
17576,구로구,한일유엔아이APT,126.8759504,37.48561824
17577,구로구,럭비구장,126.826998,37.49127886
17578,구로구,세양청마루아파트,126.8623952,37.50672328
17579,구로구,진성아파트,126.8550888,37.5070726
17580,구로구,현대IPARK정문,126.8609086,37.49104416
17581,구로구,개봉전화국,126.8560121,37.48644334
17582,구로구,개봉중학교,126.8429598,37.50229993
17583,구로구,오류중학교,126.8452627,37.50649843
17584,구로구,오류고등학교.수궁동복지회관,126.8284021,37.4986707
17588,구로구,온수역,126.8238225,37.49203726
17589,구로구,경남1차.중앙하이츠아파트,126.863013,37.50536335
17590,구로구,구민체육센터후문,126.8539612,37.50752685
17591,구로구,현대2차APT,126.860544,37.49188086
17592,구로구,개봉3동주민센터,126.8540082,37.4862735
17593,구로구,건강약국,126.8447062,37.50266532
17594,구로구,삼원목욕탕,126.8461848,37.50471005
17596,구로구,거성아파트,126.8507702,37.48986067
17597,구로구,GS25.한신아파트,126.8740427,37.49573382
17598,구로구,구로고.구로도서관,126.8908028,37.49856988
17600,구로구,천왕역1번출구,126.8391747,37.48576614
17601,구로구,오류동역2번출구,126.8437913,37.49362911
17602,구로구,미래빌라,126.8419896,37.49270769
17603,구로구,우림필유아파트,126.847189,37.49424505
17604,구로구,동부에이스,126.849717,37.49490271
